Country,GDP,Population,Inflation,Unemployment,Exports,Imports,Year
Afghanistan,287.8,43.46,5.0,4.1,75.6,89.1,2026
Albania,328.5,16.86,4.6,5.3,49.3,111.4,2026
Algeria,498.3,5.41,7.0,8.0,87.9,92.3,2026
Andorra,339.1,46.23,5.8,8.6,42.9,100.6,2026
Angola,491.3,96.97,5.3,2.4,49.5,74.1,2026
Antigua and Barbuda,470.8,30.98,3.6,11.0,76.7,115.9,2026
Argentina,220.8,7.43,5.1,10.4,29.0,37.9,2026
Armenia,209.4,4.66,4.5,10.2,48.5,50.8,2026
Australia,428.3,15.82,5.0,5.7,94.3,62.5,2026
Austria,388.9,10.56,2.2,10.1,112.6,85.4,2026
Azerbaijan,210.0,25.3,2.9,8.2,28.5,31.0,2026
Bahamas,230.6,17.33,5.5,10.2,58.9,53.1,2026
Bahrain,177.0,44.04,1.0,9.1,29.4,34.2,2026
Bangladesh,44.6,45.36,5.1,5.9,12.2,12.3,2026
Barbados,124.5,53.01,7.4,7.2,27.4,16.7,2026
Belarus,247.2,46.68,3.8,6.2,53.6,60.3,2026
Belgium,247.5,17.41,4.1,11.7,45.3,31.7,2026
Belize,6.4,54.01,1.4,2.9,0.8,1.4,2026
Benin,496.4,49.02,4.2,6.4,99.4,110.6,2026
Bhutan,364.5,89.9,5.9,6.2,83.8,120.0,2026
Bolivia,81.0,24.5,5.3,8.9,18.5,20.7,2026
Bosnia and Herzegovina,415.6,48.42,6.7,11.6,77.7,132.0,2026
Botswana,360.5,88.98,1.3,11.1,91.3,123.1,2026
Brazil,490.8,29.26,5.7,3.4,107.5,162.7,2026
Brunei,100.0,35.64,1.6,3.9,14.2,14.2,2026
Bulgaria,499.9,88.87,4.2,9.4,119.5,120.1,2026
Burkina Faso,214.6,66.74,4.9,4.7,37.1,56.7,2026
Burundi,315.4,21.75,5.3,10.7,86.5,85.2,2026
Cabo Verde,39.7,42.93,1.6,2.6,6.0,8.9,2026
Cambodia,380.9,63.26,3.0,9.0,76.7,90.2,2026
Cameroon,135.5,44.72,3.4,9.3,26.6,30.2,2026
Canada,241.1,48.51,5.8,9.2,62.7,51.4,2026
Central African Republic,397.8,96.51,7.9,9.2,45.0,125.3,2026
Chad,419.0,2.62,3.3,5.2,103.9,109.1,2026
Chile,144.7,19.45,2.2,3.0,37.3,48.5,2026
China,18500.2,1409.5,0.8,5.1,3400.8,2600.4,2026
Colombia,487.6,87.09,1.1,4.0,131.5,122.9,2026
Comoros,263.8,81.17,6.3,11.5,43.6,34.5,2026
Congo,347.7,5.96,5.0,10.6,62.4,89.8,2026
Costa Rica,89.9,16.62,5.2,10.6,27.0,11.4,2026
Croatia,460.9,51.6,3.4,6.0,99.4,92.2,2026
Cuba,77.0,86.69,5.9,8.1,18.8,26.7,2026
Cyprus,91.7,82.59,6.8,5.4,19.4,20.7,2026
Czechia,101.2,43.86,2.1,11.3,13.9,26.9,2026
DR Congo,287.2,97.49,6.6,5.6,50.3,37.8,2026
Denmark,30.7,31.79,7.6,2.5,4.2,8.2,2026
Djibouti,183.4,19.37,7.6,2.4,40.3,40.1,2026
Dominica,175.9,20.3,2.1,6.1,44.1,40.1,2026
Dominican Republic,389.8,87.99,2.2,10.8,84.3,84.5,2026
Ecuador,259.1,89.11,3.7,2.9,75.6,38.1,2026
Egypt,57.9,72.45,3.2,4.9,13.3,18.8,2026
El Salvador,176.1,90.81,5.3,8.1,36.4,21.6,2026
Equatorial Guinea,83.2,68.03,5.9,3.0,18.9,19.1,2026
Eritrea,290.6,40.51,2.5,5.6,85.4,47.5,2026
Estonia,431.8,53.59,1.5,10.1,44.7,135.0,2026
Eswatini,172.6,91.94,6.1,5.6,38.8,59.9,2026
Ethiopia,89.7,21.35,3.0,10.2,13.4,15.8,2026
Fiji,309.3,58.87,3.9,7.5,32.9,37.5,2026
Finland,18.7,6.45,6.4,11.8,2.3,3.9,2026
France,12.2,43.96,5.6,8.2,3.4,3.0,2026
Gabon,31.1,38.26,4.2,5.4,3.3,8.2,2026
Gambia,247.0,71.22,3.6,2.7,37.8,39.6,2026
Georgia,233.1,16.21,1.6,7.2,29.9,33.6,2026
Germany,4500.8,84.3,2.1,3.2,1700.5,1450.2,2026
Ghana,378.1,43.34,4.6,9.1,85.7,98.3,2026
Greece,324.9,54.02,2.5,5.1,77.4,70.3,2026
Grenada,429.9,38.04,5.7,3.2,68.7,135.7,2026
Guatemala,91.9,62.97,1.2,8.1,17.5,30.0,2026
Guinea,413.6,77.55,3.4,8.7,54.2,96.2,2026
Guinea-Bissau,197.7,47.5,2.9,4.1,40.3,53.4,2026
Guyana,283.6,95.35,4.9,3.5,64.8,54.7,2026
Haiti,469.6,13.86,4.2,8.7,138.0,112.7,2026
Honduras,193.2,77.85,6.5,11.1,47.2,28.9,2026
Hungary,495.8,93.14,4.0,8.6,132.3,164.1,2026
Iceland,362.9,9.97,1.5,5.7,69.4,69.5,2026
India,3950.6,1435.2,4.5,6.8,440.2,680.7,2026
Indonesia,124.5,16.47,3.7,10.6,27.3,34.6,2026
Iran,410.0,39.2,7.7,11.9,84.9,119.9,2026
Iraq,427.6,59.57,1.9,8.6,81.7,135.3,2026
Ireland,108.6,2.17,2.3,3.7,19.2,18.2,2026
Israel,170.3,59.32,2.1,6.8,29.1,20.6,2026
Italy,338.7,50.65,6.4,10.8,37.1,96.3,2026
Ivory Coast,232.3,87.55,1.8,10.4,43.2,32.8,2026
Jamaica,233.8,87.84,1.5,5.8,27.1,28.4,2026
Japan,4200.1,123.8,1.9,2.5,750.4,780.1,2026
Jordan,377.8,85.24,6.7,5.9,39.5,132.0,2026
Kazakhstan,318.3,71.46,5.9,5.0,73.6,71.2,2026
Kenya,117.3,50.45,4.3,5.0,29.3,38.6,2026
Kiribati,301.0,3.3,4.8,8.3,79.2,57.1,2026
Kuwait,121.0,38.0,2.1,9.8,12.8,30.2,2026
Kyrgyzstan,417.4,4.21,2.2,11.9,67.4,123.8,2026
Laos,19.1,47.23,1.3,4.5,2.0,5.3,2026
Latvia,229.8,35.85,3.9,8.8,34.9,35.7,2026
Lebanon,25.7,65.73,5.7,4.4,5.2,8.8,2026
